uuid,loan_id,amount,created_at,paid_at
df4ae21e3bae44558270c4914ee92740,20662,5.0,2019-11-19 23:25:00.580297,2019-11-22 12:31:48.924321
b8d0387ac545467fa37c51ac6c104fed,26407,5.0,2019-11-29 19:17:10.097070,
caab4012fb8841e391a0e52acb9ac22a,22319,5.0,2019-11-22 23:01:07.344754,2019-11-29 22:14:07.543824
132a22ba90324acfbc24ef9f4e21eb1c,20633,10.0,2019-11-19 22:17:51.306392,2019-11-26 14:29:09.223665
93a84a071d8e44b192639b350af0d977,29382,10.0,2019-12-04 21:35:04.426908,2019-12-09 11:43:24.439035
3e47eea718804ccfa9ce893a33a55890,27468,5.0,2019-12-01 15:25:03.770315,2019-12-19 22:32:09.577223
3c977c7ff31b4a97a7701b771055bf62,23672,10.0,2019-11-25 21:36:06.403010,2019-11-28 11:48:45.423581
f7632156282d4be2b04279c5dcea7640,21902,10.0,2019-11-22 03:29:47.587842,2019-11-25 16:32:22.520766
511070ec5e744b919bbbc0758898b767,22412,10.0,2019-11-23 03:06:50.981203,2019-12-03 18:22:31.848404
52af3b0024034c8baf721c039e4750ef,18430,5.0,2019-11-14 21:49:23.766253,2020-01-01 03:25:28.293066
9f3c1a0325d24a339c454e6b847f012e,29334,5.0,2019-12-04 20:04:01.619980,
262b895b992b4e40b025db45f213b994,23283,10.0,2019-11-25 04:24:15.364387,2019-11-30 10:51:09.886358
941155126dc34051b2d08dad383bba61,27019,5.0,2019-11-30 17:36:17.055506,2020-01-08 19:59:06.409500
0b122e123d654e33a7cab9f2a56a8974,18026,10.0,2019-11-13 23:59:37.409697,2019-11-21 13:32:33.950402
014aefb5946946c48066187536211222,17921,10.0,2019-11-13 20:13:13.407702,2019-11-18 12:52:32.841225
02983d55b375444c93bc641a2eeff13f,18061,5.0,2019-11-14 01:30:30.462363,2019-11-21 17:07:20.978051
358bf4b2db8e432d95a3fc811bcb4028,19744,5.0,2019-11-18 00:30:42.239212,2019-12-10 11:18:20.750242
49c941aec5784af2bc35222d1a6972c4,20686,5.0,2019-11-20 00:24:25.903058,2019-11-25 20:16:40.853661
6b6a1d0c6ce040df813fadf5f4e093ea,23790,10.0,2019-11-26 02:48:34.498603,2019-12-03 00:16:14.131565
d84a13de8d6d4b3fa1dd6c1b79ebf97f,22234,10.0,2019-11-22 19:29:14.030375,2019-11-25 12:47:55.952277
8c4d79a684b043149dcd2aef35d5b266,26515,5.0,2019-11-29 21:55:03.081059,
a51ce090bbde4779ba4d52a4141f2f32,19936,5.0,2019-11-18 14:42:52.140784,2019-11-30 22:07:52.055905
67f453a18a10402f99d510b69d53521e,18008,5.0,2019-11-13 23:07:46.308707,2019-11-18 11:53:51.479898
ad5c45ba509f47739869bb7a4481d4ab,26838,5.0,2019-11-30 12:09:46.605230,2019-12-02 13:20:02.745937
06ebedd2b38945aeabf9ed8ed93839a7,19630,5.0,2019-11-17 16:26:23.341478,2020-01-03 14:26:05.332591
9c658ccbd2494ba78bd912a4acd70a70,18968,5.0,2019-11-15 21:24:54.789574,2019-12-16 16:35:34.413688
a177aaa0b2cd425fa190154ad9fdc53c,25936,5.0,2019-11-29 10:06:24.158211,2019-12-07 14:58:34.190380
a6335000d5db40bc81c4fc8882481f99,18701,5.0,2019-11-15 09:55:33.801491,2019-11-22 12:41:01.886373
